,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City ID
151,muros,44.87358330935669,-11.258933391917083,68.14,77,90,5.82,ES,1562507751,3115824.0
152,crossfield,51.54112334696694,-113.7841790045341,51.12,87,75,4.7,CA,1562507751,5933070.0
153,nanortalik,52.44902066992816,-35.61181365456301,53.1,47,86,15.03,GL,1562507752,3421765.0
154,herat,33.93397800813979,61.952909404577156,100.4,9,0,21.92,AF,1562507752,1140026.0
155,shiraz,29.47892634439704,52.167861644493996,102.2,7,20,4.7,IR,1562507752,115019.0
156,port elizabeth,-88.54601583279316,35.301845085065736,79.29,83,75,6.93,US,1562507752,4501427.0
157,dunedin,-52.778129246679015,175.32979645725442,46.0,65,100,32.01,NZ,1562507753,2191562.0
158,mantua,24.668756299150658,-86.27263534996612,89.65,49,40,11.41,IT,1562507753,3174050.0
159,visnes,58.917613722113,2.6628991374355166,56.5,67,75,17.22,NO,1562507753,3131500.0
160,vanimo,2.6011287029048873,143.2993811890667,82.08,73,98,7.25,PG,1562507754,2084442.0
161,guerrero negro,24.1034165258431,-121.77507070963728,62.64,90,52,8.88,MX,1562507754,4021858.0
162,sawakin,20.43150153621302,37.4687377493475,102.24,12,100,6.71,SD,1562507754,367544.0
163,portland,-44.0410714672615,139.98110578859843,67.8,49,1,10.29,US,1562507600,4975802.0
164,champerico,10.166639858494477,-94.99482791416312,77.0,73,5,9.17,MX,1562507754,3530097.0
165,labutta,15.110069185318977,94.35156269153703,,,,,,,
166,tura,65.8552324994429,104.2053482611957,58.32,86,6,6.46,RU,1562507633,2014833.0
167,owando,-0.29856166760819747,15.582819715668705,79.92,78,83,3.53,CG,1562507755,2255542.0
168,yellowknife,67.58582069515501,-106.22904905482073,50.0,71,75,11.41,CA,1562507702,6185377.0
169,emerald,-24.41740625702934,143.34033612409428,63.68,88,75,8.05,AU,1562507755,2167426.0
170,qui nhon,14.325158656564781,112.87736069583929,,,,,,,
171,maarianhamina,61.01703203727405,19.582625764830794,,,,,,,
172,marcona,-27.359847053568366,-92.04700641134724,,,,,,,
173,vostok,49.27386285763603,149.56832905064397,64.26,95,4,2.71,RU,1562507756,2013279.0
174,grand river south east,-20.384112492126064,70.42355273906207,,,,,,,
175,aldan,58.56189694404486,123.82057595165969,63.18,77,0,3.09,RU,1562507756,2027968.0
176,kautokeino,67.65171817701372,23.488221251234478,60.3,58,7,20.6,NO,1562507756,779330.0
177,hobyo,4.4070737365207435,48.907154072699086,81.72,66,71,25.41,SO,1562507757,57000.0
178,okhansk,57.591864222072815,55.21225725221382,69.8,56,0,13.42,RU,1562507757,516073.0
179,qaanaaq,77.44546977823418,-78.8108139450209,46.44,50,99,10.18,GL,1562507757,3831208.0
180,tuatapere,-47.331797605423894,159.87268369243526,44.01,83,100,21,NZ,1562507757,2180815.0
181,ust-koksa,49.799277032495496,85.83263281731712,51.3,81,46,3.2,RU,1562507758,1488167.0
182,carutapera,4.7886478355152065,-44.04860202042411,83.7,70,70,7.23,BR,1562507758,3402648.0
183,ayagoz,48.9306151235719,78.25917399385224,69.66,59,72,23.51,KZ,1562507758,1525988.0
184,mount gambier,-44.12996803950401,136.37131231331682,46.4,100,40,6.93,AU,1562507758,2156643.0
185,kahului,36.643042114719535,-150.55499662467932,71.6,100,40,9.17,US,1562507519,5847411.0
186,provideniya,65.06383293961778,-175.34137184720905,58.32,60,81,0.83,RU,1562507758,4031574.0
187,atuona,2.7511524349300345,-131.63241097428346,79.56,79,27,18.07,PF,1562507759,4020109.0
188,chapais,51.339578608744006,-73.28749544732622,51.8,62,1,8.05,CA,1562507759,5919850.0
189,ashland,41.82254745069855,-122.59644857320589,76.39,94,90,3.36,US,1562507759,4282757.0
190,celestun,22.579847366796187,-91.80816583007012,79.74,73,0,3.47,MX,1562507759,3531368.0
191,te anau,-38.865680721059476,161.52312915617034,37.98,85,72,5.32,NZ,1562507760,2181625.0
192,belushya guba,85.54778336748643,43.505608200332745,,,,,,,
193,kabwe,-14.6474957669746,29.30004242439719,76.68,19,62,5.06,ZM,1562507760,916095.0
194,poum,-19.684287898270597,160.55130695325875,86.0,33,20,6.93,MK,1562507760,787487.0
195,hamilton,30.744557903687195,-66.99230271578818,70.2,64,75,10.29,CA,1562507590,5969785.0
196,kamaishi,35.91569740978544,147.57304794826456,48.96,98,30,4.61,JP,1562507760,2112444.0
197,sakaiminato,37.478396326802724,133.55347495946444,71.6,78,75,4.7,JP,1562507761,1853174.0
198,luderitz,-36.47428167828817,-2.459444951740579,69.8,56,0,17.22,NA,1562507514,3355672.0
199,songling,31.128996619005832,120.667224821785,79.23,65,40,4.47,CN,1562507761,1898494.0
